account_id,customer_id,paperless
1,1,False
2,2,True
3,3,True
4,4,False
5,5,True
6,6,True
7,7,False
8,8,False
9,9,False
10,10,False
11,11,False
12,12,False
13,13,True
14,14,True
15,15,False
16,16,True
17,17,True
18,18,True
19,19,True
20,20,False
21,21,True
22,22,True
23,23,False
24,24,True
25,25,True
26,26,True
27,27,False
28,28,False
29,29,False
30,30,True
31,31,True
32,32,False
33,33,True
34,34,False
35,35,True
36,36,True
37,37,False
38,38,True
39,39,False
40,40,True
41,41,False
42,42,False
43,43,False
44,44,True
45,45,True
46,46,True
47,47,False
48,48,False
49,49,False
50,50,False
51,51,False
52,52,False
53,53,False
54,54,True
55,55,False
56,56,False
57,57,True
58,58,True
59,59,True
60,60,True
61,61,True
62,62,True
63,63,False
64,64,True
65,65,False
66,66,True
67,67,False
68,68,False
69,69,False
70,70,False
71,71,True
72,72,False
73,73,True
74,74,True
75,75,True
76,76,False
77,77,True
78,78,False
79,79,True
80,80,True
81,81,False
82,82,False
83,83,False
84,84,True
85,85,True
86,86,False
87,87,False
88,88,True
89,89,False
90,90,True
91,91,True
92,92,False
93,93,False
94,94,False
95,95,True
96,96,True
97,97,True
98,98,False
99,99,False
100,100,True
101,101,False
102,102,True
103,103,False
104,104,True
105,105,False
106,106,True
107,107,False
108,108,True
109,109,False
110,110,False
111,111,True
112,112,False
113,113,True
114,114,True
115,115,True
116,116,False
117,117,False
118,118,False
119,119,True
120,120,True
121,121,True
122,122,False
123,123,True
124,124,True
125,125,False
126,126,True
127,127,False
128,128,False
129,129,False
130,130,False
131,131,True
132,132,False
133,133,False
134,134,False
135,135,False
136,136,False
137,137,False
138,138,False
139,139,True
140,140,False
141,141,True
142,142,False
143,143,False
144,144,False
145,145,False
146,146,False
147,147,False
148,148,False
149,149,True
150,150,False
151,151,False
152,152,True
153,153,True
154,154,True
155,155,True
156,156,True
157,157,False
158,158,False
159,159,True
160,160,False
161,161,False
162,162,True
163,163,True
164,164,True
165,165,True
166,166,False
167,167,False
168,168,False
169,169,True
170,170,False
171,171,False
172,172,False
173,173,False
174,174,False
175,175,False
176,176,False
177,177,True
178,178,False
179,179,True
180,180,True
181,181,False
182,182,True
183,183,True
184,184,False
185,185,True
186,186,True
187,187,False
188,188,False
189,189,False
190,190,True
191,191,True
192,192,True
193,193,True
194,194,False
195,195,False
196,196,False
197,197,True
198,198,False
199,199,True
200,200,True
201,201,False
202,202,True
203,203,True
204,204,True
205,205,True
206,206,False
207,207,True
208,208,True
209,209,True
210,210,True
211,211,False
212,212,False
213,213,False
214,214,False
215,215,True
216,216,True
217,217,True
218,218,False
219,219,True
220,220,False
221,221,False
222,222,True
223,223,False
224,224,False
225,225,False
226,226,True
227,227,True
228,228,False
229,229,True
230,230,True
231,231,False
232,232,True
233,233,True
234,234,True
235,235,False
236,236,False
237,237,False
238,238,True
239,239,True
240,240,True
241,241,False
242,242,True
243,243,True
244,244,True
245,245,True
246,246,False
247,247,True
248,248,True
249,249,True
250,250,False
251,251,False
252,252,False
253,253,True
254,254,False
255,255,True
256,256,True
257,257,True
258,258,False
259,259,False
260,260,True
261,261,False
262,262,True
263,263,False
264,264,True
265,265,False
266,266,False
267,267,True
268,268,True
269,269,True
270,270,True
271,271,True
272,272,False
273,273,True
274,274,False
275,275,False
276,276,True
277,277,True
278,278,True
279,279,True
280,280,True
281,281,True
282,282,False
283,283,True
284,284,False
285,285,False
286,286,False
287,287,True
288,288,True
289,289,False
290,290,False
291,291,False
292,292,True
293,293,False
294,294,True
295,295,True
296,296,True
297,297,False
298,298,False
299,299,False
300,300,False
301,301,False
302,302,True
303,303,False
304,304,False
305,305,True
306,306,False
307,307,False
308,308,False
309,309,False
310,310,True
311,311,False
312,312,True
313,313,True
314,314,False
315,315,False
316,316,True
317,317,False
318,318,True
319,319,False
320,320,True
321,321,True
322,322,False
323,323,True
324,324,True
325,325,False
326,326,False
327,327,False
328,328,False
329,329,True
330,330,False
331,331,False
332,332,False
333,333,False
334,334,True
335,335,False
336,336,False
337,337,True
338,338,False
339,339,True
340,340,False
341,341,True
342,342,False
343,343,False
344,344,True
345,345,False
346,346,False
347,347,True
348,348,True
349,349,False
350,350,False
351,351,False
352,352,False
353,353,True
354,354,True
355,355,False
356,356,False
357,357,True
358,358,True
359,359,False
360,360,True
361,361,False
362,362,True
363,363,False
364,364,True
365,365,True
366,366,False
367,367,False
368,368,False
369,369,False
370,370,True
371,371,False
372,372,True
373,373,True
374,374,False
375,375,True
376,376,False
377,377,False
378,378,True
379,379,True
380,380,True
381,381,False
382,382,True
383,383,True
384,384,True
385,385,True
386,386,False
387,387,True
388,388,True
389,389,True
390,390,True
391,391,False
392,392,True
393,393,True
394,394,False
395,395,True
396,396,True
397,397,False
398,398,True
399,399,True
400,400,True
401,401,False
402,402,True
403,403,True
404,404,False
405,405,True
406,406,False
407,407,False
408,408,True
409,409,False
410,410,False
411,411,False
412,412,False
413,413,False
414,414,False
415,415,False
416,416,True
417,417,True
418,418,False
419,419,False
420,420,True
421,421,True
422,422,True
423,423,True
424,424,False
425,425,True
426,426,False
427,427,False
428,428,True
429,429,True
430,430,False
431,431,False
432,432,True
433,433,True
434,434,False
435,435,True
436,436,False
437,437,True
438,438,False
439,439,True
440,440,True
441,441,True
442,442,False
443,443,False
444,444,True
445,445,True
446,446,True
447,447,True
448,448,True
449,449,True
450,450,False
451,451,False
452,452,True
453,453,False
454,454,True
455,455,True
456,456,True
457,457,False
458,458,False
459,459,True
460,460,True
461,461,False
462,462,False
463,463,True
464,464,True
465,465,False
466,466,True
467,467,False
468,468,False
469,469,False
470,470,False
471,471,False
472,472,False
473,473,True
474,474,True
475,475,True
476,476,False
477,477,False
478,478,False
479,479,True
480,480,False
481,481,False
482,482,True
483,483,False
484,484,False
485,485,False
486,486,False
487,487,False
488,488,True
489,489,True
490,490,False
491,491,False
492,492,False
493,493,False
494,494,False
495,495,True
496,496,True
497,497,True
498,498,True
499,499,False
500,500,False
501,501,True
502,502,True
503,503,False
504,504,False
505,505,False
506,506,True
507,507,False
508,508,False
509,509,True
510,510,True
511,511,False
512,512,False
513,513,False
514,514,False
515,515,True
516,516,True
517,517,False
518,518,True
519,519,False
520,520,True
521,521,False
522,522,False
523,523,True
524,524,False
525,525,True
526,526,True
527,527,False
528,528,True
529,529,True
530,530,False
