device_id,brand,imei
1,Apple,186236903628917
2,Apple,756620563411159
3,Google,503428113904383
4,Samsung,034199097005140
5,Samsung,546835652156818
6,Samsung,209679042271133
7,Samsung,228898572545960
8,Apple,633991297102481
9,Samsung,717524214955112
10,Google,747472197054669
11,Apple,275895516874090
12,Samsung,380214629613671
13,Google,577871121663651
14,Samsung,559737147082723
15,Apple,590960567303064
16,Google,421214614768342
17,Apple,016542356778265
18,Apple,960893199255027
19,Google,275164807279103
20,Samsung,368296353390550
21,Apple,448177665586851
22,Google,276528928664649
23,Apple,111109617981789
24,Apple,046337861371576
25,Samsung,605384444630600
26,Google,025895529638639
27,Apple,609626265826312
28,Google,819648253110609
29,Google,209819602752334
30,Samsung,383640412091179
31,Google,112442117536170
32,Samsung,617136657224029
33,Google,901557998028413
34,Samsung,908088235130523
35,Apple,124473158477686
36,Google,342346199423767
37,Google,694591966395517
38,Samsung,208496498560125
39,Google,625313552510505
40,Samsung,379538164938318
41,Apple,491966553307704
42,Google,611729596390409
43,Apple,074260880501716
44,Apple,445561857906477
45,Samsung,159103002156321
46,Samsung,358004010414596
47,Google,422971252967188
48,Apple,397745731441583
49,Samsung,311703037637153
50,Apple,988547281235679
51,Samsung,836314624912711
52,Apple,307240787541815
53,Apple,632686850745106
54,Samsung,634362948978610
55,Google,313100943181439
56,Samsung,666134732354940
57,Apple,128974325122572
58,Apple,076502412095790
59,Google,737100943882211
60,Samsung,457758474570545
61,Apple,897148026325703
62,Samsung,965313614878245
63,Samsung,569644309859167
64,Samsung,954107272849824
65,Apple,741407034910740
66,Google,650042548821423
67,Apple,691430753666144
68,Samsung,942965923426834
69,Samsung,414978266128758
70,Google,575676670806129
71,Google,439852989406260
72,Samsung,787010415914975
73,Apple,019803828723244
74,Samsung,079311029181331
75,Apple,708760146723849
76,Samsung,791620223288377
77,Google,441975466176620
78,Google,471960940970527
79,Google,740258835868122
80,Samsung,595724461767929
81,Samsung,884259959961002
82,Google,311775331266109
83,Google,410175902517629
84,Apple,833477433268319
85,Apple,013020569815287
86,Samsung,339785598217661
87,Samsung,912841173098503
88,Google,446512418938984
89,Apple,690819740056435
90,Google,023850371990516
91,Google,991872401078356
92,Google,743000389608706
93,Google,626682171955356
94,Apple,033190368900301
95,Apple,027240559342967
96,Samsung,111483753745843
97,Google,845881056974132
98,Google,834831520377107
99,Apple,044964104967066
100,Samsung,703362680408509
101,Apple,549305966018648
102,Samsung,769984267320441
103,Google,384596094544901
104,Samsung,495427707070578
105,Google,360914985172444
106,Apple,723229031028795
107,Apple,083044058093511
108,Google,871813359561642
109,Apple,059556574902504
110,Samsung,290193588953690
111,Google,261139898681809
112,Samsung,788754394353537
113,Google,513765158815793
114,Google,763928369294455
115,Samsung,116682973270216
116,Apple,487120602128866
117,Google,526834155999101
118,Samsung,576764722981209
119,Samsung,957657289413475
120,Google,098898645652203
121,Samsung,684995154214477
122,Apple,324491342138820
123,Google,908830705349678
124,Google,274117674124151
125,Apple,315285478150618
126,Google,538003296334727
127,Apple,274231830617893
128,Google,206496935782434
129,Google,776958741314675
130,Google,361275156277963
131,Apple,044836085456676
132,Google,640473504763928
133,Samsung,319952980061558
134,Samsung,108358328634255
135,Apple,638300081867024
136,Samsung,403304166241118
137,Google,600892196394568
138,Samsung,044731497646136
139,Samsung,847488360765817
140,Samsung,390637579145211
141,Apple,823793126978930
142,Google,746452059960438
143,Apple,787535778811616
144,Apple,202812371067287
145,Apple,286604164485959
146,Apple,224839589477352
147,Google,287056227104331
148,Apple,875109792158350
149,Apple,344694596488319
150,Apple,213424912896599
151,Google,949732033192227
152,Apple,051028767548138
153,Apple,666754858193242
154,Samsung,687741865205756
155,Google,398365203758309
156,Apple,451548094047604
157,Apple,409079772781050
158,Google,922216107051843
159,Google,905529580660138
160,Google,241270493862044
161,Google,851579197111212
162,Samsung,590203571343240
163,Google,642429563343244
164,Samsung,741759558720962
165,Samsung,893654358841834
166,Apple,374018272795596
167,Samsung,905150267551254
168,Samsung,278207979966734
169,Samsung,595764038166496
170,Apple,902824983922501
171,Apple,425762702324412
172,Samsung,336132850725178
173,Google,637673162526546
174,Google,968157903923555
175,Google,809961327303461
176,Samsung,562624467046226
177,Apple,817151602529867
178,Samsung,076604641978575
179,Apple,851268612059438
180,Apple,976074017750954
181,Samsung,654084245607540
182,Google,915086321812276
183,Samsung,457938970155029
184,Google,168154660241613
185,Apple,944988305973642
186,Apple,480962440630624
187,Apple,479513305319497
188,Apple,969586780555572
189,Google,773826460917851
190,Samsung,385445770299295
191,Google,966048736826911
192,Samsung,633194226865369
193,Samsung,455158886367747
194,Google,226408572169666
195,Google,309329981996059
196,Samsung,329715096883275
197,Samsung,327352410397739
198,Apple,732781952371006
199,Apple,876164819807704
200,Google,605687611249125
201,Samsung,652373415177345
202,Samsung,475749490228403
203,Samsung,595442947742229
204,Apple,464303942904588
205,Samsung,679252985856728
206,Apple,727601534332491
207,Apple,357790833506158
208,Samsung,148881079833423
209,Apple,372094841312840
210,Samsung,333997718051371
211,Samsung,717318939749096
212,Apple,173997046947258
213,Apple,784448354884712
214,Google,705877221641758
215,Google,231334845871493
216,Google,925236229258796
217,Google,434745245557469
218,Samsung,660606527403344
219,Google,505665883398741
220,Samsung,132579706734996
221,Samsung,010548574172156
222,Samsung,229493817359848
223,Apple,840215573257375
224,Apple,534490216667080
225,Apple,850960858749511
226,Samsung,918182819793164
227,Apple,772512957860694
228,Google,096003562439587
229,Google,395923234210890
230,Apple,285155333426433
231,Apple,502716073607763
232,Google,369112898123179
233,Samsung,556331857481700
234,Apple,666155416431670
235,Samsung,450232902822700
236,Samsung,934596262282251
237,Apple,207346549500507
238,Samsung,026086982210531
239,Samsung,611776872904774
240,Apple,258591779323822
241,Apple,311649133424579
242,Apple,889425652906032
243,Google,020326509775396
244,Google,737948714855245
245,Samsung,787158415608213
246,Apple,711842547681826
247,Google,832303589298808
248,Google,583825212932896
249,Samsung,340646867752401
250,Apple,484399106227236
251,Samsung,266933513426192
252,Google,372450184819737
253,Google,418972154064176
254,Samsung,927438119953766
255,Google,014448564510173
256,Google,973964178996986
257,Samsung,091919113599660
258,Google,577980660392051
259,Samsung,460745553470574
260,Samsung,238856527155983
261,Samsung,541165972634755
262,Apple,752250139488488
263,Apple,269131196425856
264,Apple,261499153703824
265,Google,073333732043097
266,Google,768893628969645
267,Google,465535851253892
268,Samsung,187851935837490
269,Samsung,797796120878057
270,Google,215149409762637
271,Apple,484539862895090
272,Apple,591191862339220
273,Google,715116966672521
274,Google,452647124633515
275,Samsung,718409080512080
276,Google,056409951239728
277,Google,351295927282709
278,Apple,081441529821739
279,Samsung,295786718153523
280,Samsung,736050791815899
281,Samsung,886834527346666
282,Samsung,170715879647408
283,Apple,031499825080046
284,Apple,358068828503172
285,Apple,351373990063140
286,Apple,352635602293946
287,Apple,943460666437490
288,Google,607231112712852
289,Samsung,464844941163187
290,Google,328077113062113
291,Samsung,695727908335090
292,Google,254257306624813
293,Google,235707139848228
294,Apple,501168809255021
295,Apple,306090691309810
296,Apple,796496737945772
297,Apple,785324264250642
298,Apple,076836253666777
299,Google,675556283333939
300,Google,578654362718749
301,Samsung,603358268627036
302,Samsung,924926932657327
303,Apple,599801110005155
304,Samsung,323415959775244
305,Samsung,182226189628874
306,Google,312710267672095
307,Google,799270795515122
308,Apple,946213541597099
309,Apple,625438480752034
310,Samsung,476504715802909
311,Google,046376604655866
312,Apple,525483744171581
313,Apple,021312512931100
314,Apple,591297519102312
315,Samsung,110633016583737
316,Samsung,927490728012342
317,Google,893113253269496
318,Apple,843645380442101
319,Google,750961701595919
320,Google,457575747583392
321,Apple,056775677722660
322,Apple,256265062292310
323,Google,672453076248433
324,Google,797662705115794
325,Apple,238736704254969
326,Google,192845525971075
327,Apple,633535748595325
328,Apple,939933797058162
329,Samsung,951877941763425
330,Google,073305597824575
331,Apple,983399140388436
332,Google,604432400615727
333,Google,682975147439742
334,Google,925010587525680
335,Samsung,656259045990802
336,Google,711221823155516
337,Apple,517680866281372
338,Samsung,143308003700332
339,Apple,285566084706810
340,Samsung,390339705195826
341,Apple,328094485862394
342,Google,535461470798632
343,Google,106133943945703
344,Apple,943804032537657
345,Google,692778943191009
346,Google,004047692105336
347,Google,514604014247310
348,Google,720113798440971
349,Samsung,231660076762090
350,Apple,144734043370096
351,Google,873045195778255
352,Samsung,882556296575427
353,Google,865619425577820
354,Apple,582958292361618
355,Google,808190482357155
356,Google,868639561372308
357,Apple,172143643813000
358,Samsung,413211471656094
359,Google,565346997990707
360,Google,550476816995706
361,Google,071748113176539
362,Apple,705487396102908
363,Samsung,718274968049187
364,Apple,274204956121377
365,Samsung,306260423597371
366,Google,122299077560858
367,Google,167046861114576
368,Apple,832102192378584
369,Samsung,712961803324260
370,Apple,508018498042537
371,Samsung,337773126881228
372,Samsung,217819236534606
373,Apple,056035679327986
374,Samsung,239847169061812
375,Samsung,054647548954787
376,Google,698999275175889
377,Apple,144449835539354
378,Apple,358644963924358
379,Samsung,853798214339527
380,Samsung,536749785249141
381,Google,686013477894896
382,Google,340679176651221
383,Apple,500141884216309
384,Apple,001594463339994
385,Google,853208953263890
386,Google,219947113633792
387,Apple,234103469967331
388,Samsung,167726960843768
389,Samsung,550789679352196
390,Google,263355643436970
391,Google,931706955607676
392,Samsung,164534547223989
393,Google,830650312198041
394,Apple,847242642364281
395,Apple,319092487623039
396,Apple,111428178522823
397,Google,052480880622072
398,Samsung,239594737213290
399,Google,162047876886878
400,Samsung,599648628720319
401,Samsung,541966645057303
402,Samsung,627924632037476
403,Google,775372603214505
404,Apple,766194588707155
405,Apple,348201284008385
406,Google,076597595450891
407,Samsung,776808981265742
408,Google,231964630040236
