payment_id,invoice_id,method_id,amount_paid
1,1,1,37.2050478923566
2,2,2,122.36630606207441
3,3,3,135.72121878124545
4,4,4,49.195516241972754
5,5,5,51.237623518674134
6,6,6,26.11455218839314
7,7,7,56.38374055566057
8,8,8,106.92797339642244
9,9,9,34.14181670956981
10,10,10,77.51036514749205
11,11,11,31.273845076895505
12,12,12,104.78632871008317
13,13,13,30.945328905447184
14,14,14,147.25844145435582
15,15,15,98.58135860790449
16,16,16,92.99421297309489
17,17,17,85.90775250171339
18,18,18,111.2135436428325
19,19,19,37.1933082069269
20,20,20,62.08255956162737
21,21,21,131.30653424290034
22,22,22,20.576728890364684
23,23,23,83.48960726358968
24,24,24,124.63240848079467
25,25,25,77.54268073687439
26,26,26,149.17821846611818
27,27,27,106.71327229204107
28,28,28,148.73657051712746
29,29,29,72.45216858794988
30,30,30,107.73909504814124
31,31,31,124.84910566915185
32,32,32,52.76822192971856
33,33,33,87.84479395324011
34,34,34,20.475064859515115
35,35,35,140.69071052670887
36,36,36,55.02352013784681
37,37,37,131.81999307759185
38,38,38,109.39752721856183
39,39,39,24.46317966753558
40,40,40,115.17836674640714
41,41,41,23.211192426826436
42,42,42,145.45976781376072
43,43,43,43.10542008926818
44,44,44,133.66846257175666
45,45,45,120.08390504411904
46,46,46,52.18951614978986
47,47,47,68.0180933846115
48,48,48,89.01225530203641
49,49,49,28.736334997712103
50,50,50,40.19964823057586
51,51,51,110.28239598465407
52,52,52,24.372128204389938
53,53,53,20.49611788599089
54,54,54,23.209733858216264
55,55,55,43.1130429412154
56,56,56,39.57137917052975
57,57,57,75.66152401417295
58,58,58,139.49284158102063
59,59,59,67.10267142654354
60,60,60,112.11767889801655
61,61,61,99.52242006844148
62,62,62,92.42577200938123
63,63,63,22.44570283708337
64,64,64,81.86704833359555
65,65,65,111.52258082542468
66,66,66,137.1704575883436
67,67,67,114.93764224199474
68,68,68,75.96390635463148
69,69,69,32.75246876667112
70,70,70,65.62169343178837
71,71,71,75.255364935219
72,72,72,48.860556831608605
73,73,73,136.09247169995228
74,74,74,118.47018458250228
75,75,75,92.49563301574005
76,76,76,124.2414933521245
77,77,77,78.26978218217286
78,78,78,35.75535076077346
79,79,79,68.21848456750533
80,80,80,104.52302214661066
81,81,81,88.33477572053967
82,82,82,46.816461400329906
83,83,83,126.95870930374075
84,84,84,133.68494114520703
85,85,85,67.05732774325728
86,86,86,42.013696104419566
87,87,87,48.549556827438835
88,88,88,50.07840745712133
89,89,89,30.05656731113381
90,90,90,123.2358909255768
91,91,91,101.57890313308789
92,92,92,31.11591813489919
93,93,93,135.39583114174746
94,94,94,83.80459622255806
95,95,95,43.143023378844035
96,96,96,95.75434737774742
